"id","first_name","gender","start_date","last_login_time","salary","bonus_percent","senior_management","team","employee_id"
"tcsk0GYcShhCFgYSeWprs","Douglas","Male","1993-08-06","12:42:00",97308,"6.945",True,"Marketing",100000
"5yTiDMOOlD2qnSBGnpzus","Maria","Female","1993-04-23","11:17:00",130590,"11.858",False,"Finance",100001
"NCV9KOUl9r66W6M8ACXiV","Jerry","Male","2005-03-04","13:00:00",138705,"9.340",True,"Finance",100002
"sgCFHSmeCUMM085ITtWr7","Larry","Male","1998-01-24","16:47:00",101004,"1.389",True,"Client Services",100003
"DCQNVeqHNFzhpcdZM9p74","Dennis","Male","1987-04-18","01:35:00",115163,"10.125",False,"Legal",100004
"uDiHUVku8qZlSboCIh8kX","Ruby","Female","1987-08-17","16:20:00",65476,"10.012",True,"Product",100005
"pd4nqs3aLj9eLnXac6GTf","Angela","Female","2005-11-22","06:29:00",95570,"18.523",True,"Engineering",100006
"lbu6trHDG12GFxXVAkT7w","Frances","Female","2002-08-08","06:51:00",139852,"7.524",True,"Business Development",100007
"6shBvISfbjPI06SWnvFeb","Julie","Female","1997-10-26","15:19:00",102508,"12.637",True,"Legal",100008
"wUITEiv0hIl6CAoVexw5W","Brandon","Male","1980-12-01","01:08:00",112807,"17.492",True,"Human Resources",100009
"Ep8PpnRgEAOzetnWtZqHn","Gary","Male","2008-01-27","23:40:00",109831,"5.831",False,"Sales",100010
"wRGOinedZPcsHCVBRDcIT","Kimberly","Female","1999-01-14","07:13:00",41426,"14.543",True,"Finance",100011
"dTl2UFwAxtMYDWd3YTDhb","Lillian","Female","2016-06-05","06:09:00",59414,"1.256",False,"Product",100012
"KJ3Y7S9Mfg0sRRdSheM0D","Jeremy","Male","2010-09-21","05:56:00",90370,"7.369",False,"Human Resources",100013
"GsDzQW8C4veK8sbjPRdHg","Shawn","Male","1986-12-07","19:45:00",111737,"6.414",False,"Product",100014
"9jqyIJEtCWKIHAqMUbBya","Diana","Female","1981-10-23","10:27:00",132940,"19.082",False,"Client Services",100015
"M6db25qO6BkXlG2DtP56w","Donna","Female","2010-07-22","03:48:00",81014,"1.894",False,"Product",100016
"MGrzOySpRKS6igm2GEsGu","Matthew","Male","1995-09-05","02:12:00",100612,"13.645",False,"Marketing",100017
"gsJsVz4BovDHQKPuNKLWC","John","Male","1992-07-01","22:08:00",97950,"13.873",False,"Client Services",100018
"mZ9p9tGyuFjv1J19kmzPt","Craig","Male","2000-02-27","07:45:00",37598,"7.757",True,"Marketing",100019
"6r4Fw6uf07it1KsgN08cp","Terry","Male","1981-11-27","18:30:00",124008,"13.464",True,"Client Services",100020
"GQVFBxHehaOmuqZJ1kPiW","Benjamin","Male","2005-01-26","22:06:00",79529,"7.008",True,"Legal",100021
"ZPVilXY48puLboSDmP8w1","Christina","Female","2002-08-06","13:19:00",118780,"9.096",True,"Engineering",100022
"DOV930IeA6okwJyDRtKmo","Jean","Female","1993-12-18","09:07:00",119082,"16.180",False,"Business Development",100023
"xTJuqd1m5BIm00uxapKKE","Jerry","Male","2004-01-10","12:56:00",95734,"19.096",False,"Client Services",100024
"eVCjQTBeug6eQjOpUcC9X","Theresa","Female","2006-10-10","01:12:00",85182,"16.675",False,"Sales",100025
"MIfSKo4YPna3YQP6XsVe8","Rachel","Female","2009-02-16","20:47:00",142032,"12.599",False,"Business Development",100026
"qjLbZIlxBW2Jbu0Tvs6yT","Linda","Female","1981-10-19","20:49:00",57427,"9.557",True,"Client Services",100027
"dUtqnKkJGcCPp489G313p","Stephanie","Female","1986-09-13","01:52:00",36844,"5.574",True,"Business Development",100028
"V8t7Qzvwz9QQrgTJgswq3","Michael","Male","2008-10-10","11:25:00",99283,"2.665",True,"Distribution",100029
"m5W6VBPEbtBmHXREo74QG","Beverly","Female","1998-09-09","20:26:00",121918,"15.835",False,"Legal",100030
"L4vaq1s3eHhibMO5A39o6","Marilyn","Female","1980-12-07","03:16:00",73524,"5.207",True,"Marketing",100031
"yUAq3K3PdOsbmA84gqBSS","Cynthia","Female","1988-11-16","18:54:00",145146,"7.482",True,"Product",100032
"h5ry16vrMooJlez2P1tEQ","Roger","Male","1980-04-17","11:32:00",88010,"13.886",True,"Sales",100033
"guRj98zwvmTP3lrl5dMKn","Bruce","Male","2009-11-28","22:47:00",114796,"6.796",False,"Finance",100034
"ADpVe4AKMCsTBdHJxuoaF","Kathy","Female","2005-06-22","04:51:00",66820,"9.000",True,"Client Services",100035
"XhXzXDMwLt6HXUKtVtGAY","Clarence","Male","1996-03-26","05:57:00",93581,"6.083",True,"Business Development",100036
"XFolXwVUUgzTQCnUwqCdf","Nancy","Female","2000-09-23","08:05:00",94976,"13.830",True,"Engineering",100037
"wUAab3RpwHjFTE4v7y6FC","Todd","Male","1990-02-18","02:41:00",49339,"1.695",True,"Human Resources",100038
"FSpJ9CNfbrKQSidwqF49H","Sara","Female","2007-08-15","09:23:00",83677,"8.999",False,"Engineering",100039
"POZy4lum5WVqN15goeFyX","Karen","Female","1999-11-30","07:46:00",102488,"17.653",True,"Product",100040
"p4MDdVbJzgk3Vn4nVzHAX","Carl","Male","2006-05-03","17:55:00",130276,"16.084",True,"Finance",100041
"o6YPPZerSDq7rPURVBHcz","Henry","Male","1996-06-26","01:44:00",64715,"15.107",True,"Human Resources",100042
"ZWxad1QuiZwAQw61QBvNi","Theresa","Female","2010-04-11","07:18:00",72670,"1.481",True,"Engineering",100043
"L8VaG6iw7DEM9qKlvXOoD","Irene","Female","1997-05-07","09:32:00",66851,"11.279",False,"Engineering",100044
"Ec3ZVcU65SzzzjzXgCU9b","Denise","Female","2001-11-06","12:03:00",106862,"3.699",False,"Business Development",100045
"Y6o9GLv0N8ohO8w1ODrBo","Matthew","Male","2013-01-02","22:33:00",35203,"18.040",False,"Human Resources",100046
"uIG0LfOyLEDQt26YhugI0","Steve","Male","2009-11-11","23:44:00",61310,"12.428",True,"Distribution",100047
"TrlAv7TFVGblXwnEmyu6e","Nancy","Female","2012-12-15","23:57:00",125250,"2.672",True,"Business Development",100048
"ZlttK9G6Y8cHxVQxQyT9z","Rachel","Female","1999-08-16","06:53:00",51178,"9.735",True,"Finance",100049
"xh6lzWu8TUlWq8ZQP6tVL","Jose","Male","2004-10-30","13:39:00",84834,"14.330",True,"Finance",100050
"G0BMWeoTGe73lEIBp85gG","Johnny","Male","2009-11-06","16:23:00",118172,"16.194",True,"Sales",100051
"2Spt5xhrwKAuC4Oalzu4k","Bobby","Male","2007-05-07","10:01:00",54043,"3.833",False,"Product",100052
"eb9vZLRJ3DNuf52fPlkoy","Frances","Female","1999-04-04","16:19:00",90582,"4.709",True,"Sales",100053
"0iyBy7HWwZvnsEbrm6nvn","Thomas","Male","1995-06-04","14:24:00",62096,"17.029",False,"Marketing",100054
"1E4YPHFxOl4KJDoPYA0I2","Bonnie","Female","1991-07-02","01:27:00",104897,"5.118",True,"Human Resources",100055
"FBvVV5k0axTR9TJiTxSXC","Margaret","Female","1988-09-10","12:42:00",131604,"7.353",True,"Distribution",100056
"AuDFFtmwcT4HfPbV2TbOL","Charles","Male","2004-09-14","20:13:00",107391,"1.260",True,"Marketing",100057
"Qm6qINZohwtvFstCF359N","Robin","Female","1983-06-04","15:15:00",114797,"5.965",True,"Sales",100058
"cWBTfUMh6ZditycfRqpco","Bonnie","Female","1988-11-13","15:30:00",115814,"4.990",False,"Product",100059
"h3BJUz2L2VEdKcBe2Gt1j","Christopher","Male","2008-03-30","10:52:00",47369,"14.822",False,"Legal",100060
"9SII2DYsSf0uFxmIuAG7g","Steven","Male","1980-03-30","21:20:00",35095,"8.379",True,"Client Services",100061
"f5SSYqjMHia7NTFsm6VCH","Shawn","Male","2005-09-23","02:55:00",148115,"6.539",True,"Finance",100062
