employee_id,first_name,last_name,email,address,work_type,married,gender,hire_date,department_id,position_id,employee_type,manager_id
1,Richard,Rivas,greenbrandon@mercado-lucas.com,"7640 Medina Extension
Berryhaven, HI 53259",In-office,False,Other,2016-08-05,7,5,Contractor,
2,Stephanie,Hughes,kdavis@yahoo.com,"65297 Jones Dale Suite 053
Luisborough, CA 72669",Remote,False,Other,2015-01-23,1,5,Contractor,73
3,Juan,Mendoza,charlesevans@mcgrath-lewis.com,"860 Rodriguez Well
Sanchezfurt, CT 71731",In-office,True,Other,2018-01-14,5,4,Contractor,83
4,Caitlin,Novak,victorleonard@smith.info,"2100 Howard Stravenue
Danielburgh, AK 91610",In-office,False,Male,2015-01-24,10,1,Part-time,129
5,Robert,Ryan,catherine35@yahoo.com,"99900 Randall Fort Suite 132
Port Tony, HI 14044",In-office,True,Male,2015-08-23,10,4,Contractor,37
6,Whitney,Rodriguez,smithholly@yahoo.com,"2234 Donald Causeway Apt. 453
Lake Brandi, ND 29454",Remote,False,Female,2019-06-19,5,6,Part-time,115
7,Judith,Bernard,perkinsheather@yahoo.com,"2251 Fox Bypass Suite 048
New Emilymouth, TN 72099",In-office,False,Other,2020-02-04,6,1,Full-time,38
8,Garrett,Sanders,robert17@yahoo.com,"7291 Christopher Unions
Robinport, GA 09113",In-office,True,Female,2021-01-27,1,6,Full-time,126
9,Michael,Morrow,xedwards@donovan.org,"5396 Morrison Corners Suite 467
Washingtonmouth, NH 21909",Remote,True,Male,2021-08-23,9,9,Part-time,129
10,Stephanie,Richards,vargasangela@perez.com,"72478 Brooks Ramp Suite 415
Moodyton, NJ 87703",In-office,True,Other,2013-10-16,10,5,Part-time,36
11,Tonya,Hall,lopezjoanna@williams-pacheco.net,"USCGC Richardson
FPO AA 51679",In-office,True,Male,2022-12-01,8,2,Contractor,120
12,Megan,Murphy,danielgill@moore-frey.com,"16284 Black Crest Suite 901
Andrewmouth, CO 37512",Remote,True,Male,2016-09-12,1,6,Part-time,150
13,John,Perry,darleneblair@gmail.com,"42338 Stephanie Fort Apt. 146
Lake Stevenview, DE 50459",Remote,False,Other,2020-10-20,9,9,Contractor,59
14,Manuel,Vargas,hbrown@yahoo.com,"8657 Graves Via
North Heather, MD 98036",In-office,True,Female,2019-01-18,9,7,Contractor,50
15,Felicia,Bean,derrickbarber@crane.com,"0020 Morrow Fort Suite 086
Port Scottchester, WA 32717",In-office,False,Male,2021-10-12,6,10,Contractor,113
16,Patricia,Ingram,qschmidt@ross-wells.org,"7804 Stephanie Islands Apt. 707
Pattersonport, FL 07168",Remote,True,Male,2021-03-28,2,5,Contractor,95
